"Domain","Device_or_signal","MCU_bus_or_pin","Direction_and_active_level","Software_owner","Configured_value_or_mapping","Safe_state_or_failure_action","Evidence","Status","Confidence","Human_confirmation"
"Pre-discharge","PDSG + R40","BQ PDSG output; 100 Ohm 2 W path","output/power path","App_Power / App_BatMan","BQ PDSG behavior enabled/configured; physical external capacitance and stop criterion Unknown","Timeout/failure must turn PDSG and DSG off and latch/retry-limit; thermal result not proven","official_chip_docs_files/full_netlist (4).csv:234-241,264-268,302-313; App/App_Power.c; App/App_BatMan_Config.c","HIL blocked","Medium","Needed: VOUT/gate/current/temperature waveforms"
"Charger","SC8815 software I2C","Driver maps physical SCL=PA6 and SDA=PA7 because compile-time swap=1; generated labels/rules say the reverse","bidirectional; open-drain","Int_SC8815 / App_SC8815","compile-time swapped mapping = 1; 9-pulse recovery; bounded stretch","Unexpected line order is rejected; bus fault keeps PSTOP high","Int/Int_SC8815_BSP.h:10-20; Int/Int_SC8815.c:61-187,1105-1139; bms24v_platform/Core/Inc/main.h:63-66; docs/rules/hardware_rules.md:37-39","Conflict pending physical capture","High","Needed: logic analyzer before power"
"Charger","SC8815 INT","PA5 EXTI","input; active-low/falling","ISR -> App_Safety / App_SC8815","monotonic event sequence; owner reasserts inhibit; two clean frames; sequence recheck and clear are atomic with IRQ disabled","ISR first forces PSTOP safe; a new sequence retains inhibit, repeats EmergencyStop and resets clean count","bms24v_platform/Core/Inc/main.h:60-63; bms24v_platform/Core/Src/gpio.c:54-88; bms24v_platform/Core/Src/stm32g0xx_it.c:204-212; Int/Int_SC8815.c:743-770; App/App_SC8815.c:435-505","Software fact; race HIL pending","High","Needed: INT-to-PSTOP and resolve-window race injection"
"Charger","SC8815 PSTOP","PB0 GPIO output","active-high standby","Int_SC8815; emergency paths may call ForceStandby","HAL_Init 前直接寄存器置高；运行期 direct BSRR high；low only after epoch revalidation","High is safe; every fault/disable branch asserts high first","bms24v_platform/Core/Src/main.c:83-110; bms24v_platform/Core/Inc/main.h:64-66; Int/Int_SC8815.c:21-46,677-770; App/App_SC8815.c:106-312,435-505","Software closed; reset waveform HIL blocked","High","Needed: reset/default/INT-to-PSTOP waveform"
"Charger","SC8815 CE_N","PB1 GPIO output","active-low enable","Int_SC8815 / App_SC8815","HAL_Init 前直接寄存器置高；generated startup high; runtime controlled with PSTOP sequencing","High disables charger; failure retains disable","bms24v_platform/Core/Src/main.c:83-110; bms24v_platform/Core/Inc/main.h:67-69; Int/Int_SC8815.c:21-46,677-738","Software closed; reset waveform HIL blocked","High","Needed: scope"
"Charger","SC8815 VBATS divider","external R17=200 kOhm / R18=10 kOhm","analog","Int_SC8815 conversion","nominal pack target 25.2 V; external divider enabled","Out-of-range/invalid sample prevents charge enable","Int/Int_SC8815_BSP.h:132-161; docs/wordflow/manual_confirmations.md:8","Manually confirmed value","High","Needed: DMM calibration/tolerance"
"Charger","SC8815 current shunts","IBUS and IBAT 10 mOhm software baseline","analog","Int_SC8815 conversion / App_Power","IBUS ratio=3 target=1.5 A max=3 A; IBAT ratio=6 Release target=1 A max=5 A","Limit write/readback failure keeps charger stopped","Int/Int_SC8815_BSP.h:21-31; docs/rules/hardware_rules.md:46-60; Int/Int_SC8815.c:1028-1103","Software and rule values aligned; calibration pending","High","Needed: BOM + current calibration before power test"
"Shared bus","I2C2","PA11=SCL PA12=SDA","bidirectional; open-drain","Int_I2C2Bus","static recursive mutex serializes EEPROM/OLED","Lock/transfer failure propagates; must not block safety task","bms24v_platform/Core/Src/i2c.c:84-107,172-179; Int/Int_I2C2Bus.c:7-61; App/App_Main.c:178-206","Software fact","High","Needed: contention/stuck-bus HIL"
"Display","OLED","I2C2; address Unknown","output","App_OLED / Int_OLED","8 page burst refresh; maintenance task","Display failure must not authorize power or block safety","Int/Int_OLED.c:16-17,114-147; docs/rules/hardware_rules.md:88-97","Address Unknown","Medium","Needed"
"NVM","M24C64 EEPROM","I2C2; assumed 7-bit address and page geometry in driver","bidirectional","Int_EEPROM / App_BatMan_Nvm","SOC slots 0x80/0xC0; SOH slots 0x00/0x40; CRC + sequence + readback; static recursive NVM mutex; task-atomic SOC/SOH snapshot","Bad/partial slot rejected; lock failure skips/returns failure; scheduler pause covers only RAM snapshot, never EEPROM I/O","Int/Int_EEPROM.h:7-15; App/App_BatMan_Nvm.c:17-38,49-175,204-539,713-894","Software closed; physical address/power-cut/endurance Unknown","High","Needed: address, contention, write-cycle and power-cut tests"
"CAN","FDCAN1 + transceiver","PB8 RX PB9 TX","bidirectional","Int_CanFd / App_CanBms","500 kbit/s nominal and data; FD without BRS; read-only BMS protocol","Bus failure degrades diagnostics only; local safety stays autonomous","bms24v_platform/Core/Src/fdcan.c:40-58,93-101; docs/protocol/bms_canfd_protocol.md:1-11; App/App_CanBms.c:679-819","Software/config fact","High","Needed: bus-off and interoperability"
"UART","USART1","PA9 TX PA10 RX","bidirectional; 115200 8N1","Int_Log / Com_Format / Engineering App_DebugCli","application uses Int_Log_Printf; fixed 384 B stack buffer + bounded Com_FormatV -> static 1024 B UART-IT ring; truncation/full-ring drops are counted","Logging never waits for UART; post-link gate rejects heap/stdio symbols; Release CLI code is stubbed","bms24v_platform/Core/Src/usart.c:41-52,99-111; Com/Com_Format.c:13-269; Int/Int_Log.h:16-41; Int/Int_Log.c:11-24,47-173,175-231; CMakeLists.txt:194-201; tests/host/check_forbidden_symbols.py:10-50","Software closed; Release symbol gate passed 2026-08-22","High","Needed: saturation/HAL_BUSY/jitter test"
"Buzzer","TIM3 CH2","PB5 alternate function","output PWM","App_Buzzer / Int_Buzzer","timer prescaler 63 period 999","Diagnostic only; must not control power","bms24v_platform/Core/Src/tim.c:44-47,110-117; App/App_Buzzer.c; Int/Int_Buzzer.c","Fact","High","Not needed"
"LED","LED_RED/LED_GREEN","PB13/PB14 GPIO","output; board active level from driver","Int_Led","status indication","Diagnostic only","docs/rules/hardware_rules.md:107-114; bms24v_platform/Core/Inc/main.h:71-74; Int/Int_Led.c","Fact","High","Needed: active level visual check"
"Button","BMS_MUX_BTN","PD3 GPIO","input","No active App/Int consumer found","generated input only; debounce/business meaning Unknown","Must not directly bypass Power/Safety","docs/rules/hardware_rules.md:107-114; bms24v_platform/Core/Inc/main.h:75-76; bms24v_platform/Core/Src/gpio.c:97-101","Unknown application behavior","High","Needed: define product function"
"Safety","IWDG","MCU internal LSI","refresh-only peripheral","App_Safety policy; Int_Watchdog hardware","nominal 6 s at assumed 32 kHz LSI /256","Only healthy supervisor refreshes; timeout resets MCU","App/App_Safety.c:9-16,469-560; Int/Int_Watchdog.c:17-78","Software fact; actual timeout Unknown","High/Medium","Needed: measured reset interval and FET/PSTOP waveform"
"Safety","Fault retention","RTC TAMP backup registers BKP0..4","internal persistent registers","Int_Fault","fault code/reset cause/PC/LR/checksum","Panic/HardFault forces SC standby before record/reset","Int/Int_Fault.c:73-129,151-228","Software fact","High","Needed: power-cycle/reset injection"
